	B cell	CD14+ monocyte	CD16+ monocyte	CD4+ T cell	Cytotoxic T cell	Megakaryocyte	Natural killer cell
actb	-332.2820686283842	-291.13727560396103	-74.74426028194014	170.4990195227183	127.21859387997235	91.34340880150144	85.72498991933521
cd74	1975.6566871627906	135.54897794263238	-96.6717334368893	-276.59963029280453	-148.41656344565908	-5.352005902878741	35.13104507661832
mtrnr2l12	207.96117994528734	303.7549904356838	181.2345972483655	-913.2194908041602	-192.3062617158485	0.8438765457843893	-110.14191902508904
ftl	-116.3855866031794	20.172898107102416	115.91245103220055	-22.069356604081655	-692.3553089490588	62.339721981198146	16.55834243578724
eef1a1	425.6326358284442	278.1436347801391	-47.32440966052231	-563.2908399055362	310.68467417384954	-16.8605870561659	34.17208399908524
hla-e	34.01746978654196	-497.00813916439404	7.7954872307224115	-229.1079720360851	128.9795762284001	81.97021651973806	43.88446304320575
psap	57.8384611001581	316.75868834796853	221.34753574883845	-109.00219959891162	-125.86898277399688	-0.9978694878549814	-61.15729186254983
hla-dra	1872.6717329985956	-100.63401564902453	45.89634064421023	-110.40532650223061	-23.651060372769436	-1.9996066640575563	-23.58315429438659
sat1	-93.26382372927958	-11.915510186808806	126.04511414635934	30.818035925919943	-167.97145963307696	12.547730735194065	50.31978235829881
ptma	391.24408006046247	-258.43623498333824	107.53063928729762	-164.99714615765993	-56.556093445189816	-4.062313565218386	45.85873603250472
ppbp	-0.9789191122505028	-9.888609058553863	-0.4690577028828379	-1.9699729996599826	-0.6463310038305421	209.89094356773137	1.4822057205329788
ch507-513h4.3	7.880535432344033	1.1206624948905537	-1.0447242323550832	-15.460370768943445	12.879810158107983	-0.9946424733148149	6.56342242352116
neat1	-125.59184531290259	-227.0096210212632	386.02579823184857	92.4375372820164	-92.64755405237977	-7.968859608909902	-27.2827318342941
mtrnr2l8	51.0776389588707	135.92568556083987	-10.41556760987682	-131.18598208182814	127.35227808808266	4.9467652952793975	-56.6751035345219
fth1	-270.3107012916786	-194.94199274714768	50.88636596885282	-356.8589320447442	-326.2773646720867	127.4520874126639	190.93637103089418
rpl3	84.14371565312887	23.320774848759957	-27.65423470067209	-312.984146259533	452.11661025416663	-9.25969610629075	30.865625986487313
hla-dpa1	611.6648286651852	-127.07066387264094	-17.00479556378628	64.16035279594693	-15.335884596338488	-1.3273445351797197	-32.02706495755001
ubc	95.70646198121483	-71.40336281889115	-89.18466888758574	368.1444340768838	-188.18641056994952	-4.299409395304202	202.4971116061592
hla-b	-0.06651679349462367	-310.6191446031779	18.242016847272996	-14.151543040649972	406.7424609124405	-20.83833665405649	69.28426094098859
dusp1	-27.120937259738767	239.09179291762428	125.69730954976995	-103.86205634883892	4.800487179413674	-5.462509671199132	56.36947860222815
actg1	-350.05245603743447	83.65703123778862	-52.94963187144091	-450.74986258541236	450.61848512485096	19.287610031591022	16.34982141659228
sh3bgrl3	-79.46398511795013	-230.2877782318887	-109.46694995959018	-239.843881809874	331.1519756019067	80.0088995105047	168.20560108717402
ccl5	-78.99969965349436	-31.101246026217964	-16.06515317762353	238.39633590771203	-26.063686131611117	66.62852687183761	103.16540583635529
lyz	-27.060877252557603	1146.6911132726304	96.46330419246414	-48.53968475421932	-14.714714477591393	0.7367580810381014	-15.05845117500654
igkc	708.6593409006323	-19.7875068270503	-3.4572010364369463	-6.8331716863746035	-5.663174530012687	1.14679116310387	-4.074739453443965
rpl4	253.73495392590604	142.35953837971746	10.174145843228258	-199.2772400902872	-7.82014614343474	-15.030277121332656	30.65389076339772
