	B cell	CD14+ monocyte	CD16+ monocyte	CD4+ T cell	Cytotoxic T cell	Megakaryocyte	Natural killer cell
actb	-36065531.81332398	8578972.777095795	13216714.774681093	11054517.606910704	2696648.528819084	8892555.986183168	-1640224.7031345367
cd74	159599055.93624878	9152706.92691803	5649034.456085206	-2900423.712348938	-1749193.1106185915	-46382.60153198243	-1093463.5597229004
mtrnr2l12	2323895.0406379704	13579897.38605118	-6887878.68165207	220357.20602542162	-1391981.5841500761	859935.1678886414	-2643726.054053307
ftl	-13457548.084842684	31022164.1434021	71771360.83003236	-2794240.324773789	-990970.6247692108	-1696842.8964843752	-1096799.1001205447
eef1a1	31963380.6071167	-14775585.158672333	-4855730.015869142	57307254.58185196	37247411.45915222	-794752.0069427491	6041409.663105012
hla-e	521984.5112442971	-5693875.961860658	-2431369.9071655273	-1881655.6594376564	4903577.292037964	4713687.621063232	4400907.053260803
psap	359402.5972366333	8960100.450866701	10941049.141819	-528186.4416122438	-149361.81028747562	-425905.7312469482	-190721.27462196353
hla-dra	52541474.75123597	40044293.490959175	-4916580.810680389	-333618.5610656739	-363450.66967391974	-44036.99699783326	-148070.51870727536
sat1	-1401093.2689590456	4579846.7068099985	19055302.580276493	-327321.1208724976	-711312.3439865112	-803334.5921134949	-108050.53765869142
ptma	2906680.244932175	-9430025.201305388	11045076.386192322	4052549.3602848058	-3426176.6888704305	-36669.57370638848	-4239322.431901932
ppbp	1019.7129383087158	-22965.74981689453	-10913.264808654785	-1389.0294528007507	-66.7507646083832	8886041.331275942	-898.8579025268557
ch507-513h4.3	3132921.7241745004	-1361220.661582947	-1793411.4529113774	3455398.5466003423	5361684.68006897	165740.84765911105	-1489767.4559097292
neat1	1375557.2874069214	-1826707.0017700198	3250419.563476563	-1209972.0580596926	-1026582.4147224427	-14146.149169921875	-144737.59565734866
mtrnr2l8	980474.1204137802	-2416919.1453323364	-564076.096725464	3609259.2392654424	625003.6990556717	422764.3580932618	-877711.7878160478
fth1	-652199.0719642639	7409071.786193848	-6690413.351613045	-1171355.195921898	-2538685.396574021	3064542.5081024175	-1364210.8669281008
rpl3	-322186.0880346895	1382897.8738660812	-1967015.7331333156	-2618078.137718201	6582297.797698975	18038.654297828678	581388.3788199426
hla-dpa1	-13227903.741298677	495757.61534214026	7891528.145996096	-213377.46154785156	223576.32767486572	-6810.408404350281	-74690.4464673996
ubc	-585700.9493379594	-34699.65374475718	4487651.94202423	-92832.20918160678	1403517.750472069	-365280.4273490906	-521690.4293661118
hla-b	-8705297.2673893	292719.2210125923	-688324.4533882141	1406902.08975935	4907916.002111436	-240426.39338493347	6525143.039447785
dusp1	-334138.7549285889	1969153.946838379	-407751.5356063843	1514463.5739517212	-995623.0034637451	-8909.010209083555	6707.738378494978
