	B cell	CD14+ monocyte	CD16+ monocyte	CD4+ T cell	Cytotoxic T cell	Megakaryocyte	Natural killer cell
actb	-373.0153899949546	7.270347952352063	79.76213659971748	-1096.6408513661142	-10.747736772016957	178.94018612431015	18.548077210592396
cd74	1632.8549516924795	98.15784149075476	-50.59284369999793	-284.4195474784918	-31.237702302139986	-0.9466776259952938	-57.651096526627114
mtrnr2l12	76.45238920774008	425.98774675678726	-4.132343031115952	-198.29356904005783	-70.65206298803554	3.3279065978113698	-189.8270062282016
ftl	-62.458074241528564	549.1392692792435	129.74287967956784	-207.36021394815248	-398.0891073462463	-296.66072958860786	12.575725711518158
eef1a1	137.7235905108816	329.9354728338461	-44.99297655138032	218.87755191742065	463.4564692209293	-33.75227591730945	-91.76632132982206
hla-e	-10.641508690614746	-316.31859108018415	-65.30086678881179	-282.3269162068752	244.8290887411796	48.1972455720304	130.87909587996253
psap	-37.59572056412812	379.8316196007463	278.88425145161415	-93.52030052399415	-53.94265991895192	-6.807490919062998	-72.9496191234157
hla-dra	1587.5433969848038	318.75517462444714	-45.15340459403148	-45.79623457378326	-46.77796111619739	0.5819384117677511	-13.613887893174827
sat1	-8.605508960247176	166.0156078677673	55.49315894701291	-61.58686249304294	-134.72088427059347	39.30237538521496	-27.1641189683373
ptma	13.517275189583104	-23.0913781505536	9.656305205777585	335.05477330279683	172.27838822898732	-5.355525124566874	-171.73730069485308
ppbp	-0.2109486842161684	-5.143742938712883	-0.7730400677261855	-2.294138568537264	-0.4646332709218686	384.3022510617118	-0.44902490354388913
ch507-513h4.3	-0.7378811559242833	-3.4347664586812217	-3.570484473677224	6.654327809919987	23.501766079941355	0.7520067940693491	-11.092470937685455
neat1	-51.34362206521607	23.22538554104238	71.84518359089759	38.07352490369891	4.896332026758622	-3.675533714815759	-0.8603006044724202
mtrnr2l8	57.60190962512046	84.90836362994966	-22.488071987777868	-85.84226747246342	19.782412957920965	31.712764162091325	-72.68500624380763
fth1	-70.6236093884804	389.9002361969656	77.55661944523793	98.9979197250566	-451.7868719229854	-217.73874731520263	-11.22882735521435
rpl3	-148.2056483661716	-83.04873743955413	-57.43149711197273	539.3801605252141	195.58814505041553	-2.232368823420562	26.92684122684003
hla-dpa1	565.4926868678987	43.417297390239014	32.571000599662035	-54.80413693878733	6.848929460633946	-0.7565043056716299	-4.084466367197134
ubc	-61.63067531522814	-101.16266712086761	-8.387094185409367	233.00605514332818	-126.2798135947465	1.7597347190602182	43.167304346009686
hla-b	-129.11878510740132	-45.01204972413463	5.0487649073702325	-63.14340211546485	8.091927590967444	11.665156901136015	-16.499654774928743
dusp1	37.12559394362132	250.8038619991455	72.92593100236384	-22.876021415340716	3.822418060067362	-1.8778301236320716	-49.249415012527145
actg1	-412.538902243016	157.05664320040933	14.162967227910235	-3.9580581703475795	16.036211788803037	24.8042054413199	-45.665982564808374
sh3bgrl3	-110.62834416761473	-75.06768855198074	-66.67897989529753	-53.67344882257824	59.193065293721546	97.72211351468061	-22.481820935247008
ccl5	-32.94378021564086	-20.87309367895257	-39.23272694976711	-49.899432733082016	989.9930219155017	116.39883406002122	68.09246427995126
lyz	-6.773765756285468	790.6487104107218	4.248502718079319	-12.072298274886807	1.0365788821770505	-0.6745883233222478	-4.52722191761494
igkc	754.5255027253214	-11.813893365520023	-0.06739436668008399	-13.97490371286986	-7.1233767731308415	-0.05584838747190869	-0.976886517180141
rpl4	491.0246398241868	6.808766679053882	-103.62413675129868	1040.7760569357479	-124.37892374160175	-3.474966656561113	-165.22547644252793
tpt1	150.51136907547715	52.35445646980447	-61.01546578814231	725.1840012248038	-36.04574534862899	-10.599964994062844	-94.25241854282656
gnly	-23.514897291770303	-14.554104945055535	-49.79205999579052	-27.92412922206934	276.74435519954943	-0.9329875585015974	930.5187666640143
tsc22d3	-45.29829237959902	-13.568977995272355	22.615230705621713	106.45183372044967	56.26553876365399	-11.564464846628539	-25.80927956776332
txnip	388.9047811690072	-0.2715785314610616	20.8616598666526	385.24172960207153	118.65774464757642	-9.535544073157093	9.8410378911651
tagln2	58.18192500188134	23.405724552485847	-40.69873436271028	-102.71544037605639	-39.91167470962261	155.18717765163737	-43.499712887009565
oaz1	83.96288680777488	64.98559041465094	-77.2443101206658	-306.52420033878377	-183.1819912629574	147.1630356448813	-42.319570154389545
rplp0	333.9836089669098	-14.9342447169151	-94.72700968269436	322.83189198081	278.72571637159984	-1.1658297722873914	-75.41387093736168
ighm	1121.2977879175605	-13.912337931654191	0.20267294719348225	-19.347092162646863	-0.6196200184615424	-0.013863048075510318	-1.2971592481379821
gapdh	-92.02676821128267	17.555630505762824	-114.71097341394227	22.893608286256885	-22.131344339206407	32.48237924409677	137.2455267576558
ctss	-2.8952573839252222	127.30666512401956	170.28357609675925	-55.62251100758602	-14.344867685774433	-1.238071239509709	-44.368875183874664
rps3a	188.79515504998983	-84.17018705775111	34.329297981939575	-15.851301491063225	235.46839549875867	-5.215694368910675	-84.39912682915356
rps6	-146.82639387130405	21.306191267432414	39.55728159859618	780.7693436050182	-427.17361912797963	-6.9339288439296105	9.460316540327845
